Gray Levels,  Number os Pixels
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 1
12, 0
13, 2
14, 9
15, 12
16, 33
17, 95
18, 255
19, 579
20, 1515
21, 2129
22, 5149
23, 7456
24, 8083
25, 11987
26, 15579
27, 18647
28, 21433
29, 22344
30, 25115
31, 24180
32, 22491
33, 22298
34, 22772
35, 21399
36, 20334
37, 18323
38, 17115
39, 15954
40, 14634
41, 13522
42, 12822
43, 12145
44, 11645
45, 11101
46, 10574
47, 10006
48, 9774
49, 9298
50, 8811
51, 8200
52, 7961
53, 7907
54, 7257
55, 7038
56, 7102
57, 6997
58, 6558
59, 6371
60, 6540
61, 7000
62, 7714
63, 8921
64, 10329
65, 11949
66, 11396
67, 13597
68, 12175
69, 11456
70, 11740
71, 10043
72, 9429
73, 8866
74, 7995
75, 8039
76, 7387
77, 6751
78, 6466
79, 6263
80, 6197
81, 6026
82, 5896
83, 6109
84, 6039
85, 5952
86, 5825
87, 5758
88, 5721
89, 5950
90, 6283
91, 6220
92, 6533
93, 7141
94, 7541
95, 7699
96, 8275
97, 8524
98, 8786
99, 9000
100, 9320
101, 9573
102, 10614
103, 11204
104, 11305
105, 10668
106, 10887
107, 10733
108, 10508
109, 11148
110, 10986
111, 11009
112, 10896
113, 11498
114, 11796
115, 11934
116, 12311
117, 12065
118, 11876
119, 11576
120, 11748
121, 11025
122, 10732
123, 10655
124, 10528
125, 10386
126, 10273
127, 10096
128, 10200
129, 10224
130, 9810
131, 9727
132, 9428
133, 9490
134, 9023
135, 8986
136, 8873
137, 8291
138, 8114
139, 7803
140, 7768
141, 7375
142, 7553
143, 7294
144, 6994
145, 6874
146, 6698
147, 6605
148, 6645
149, 6611
150, 6514
151, 6742
152, 6844
153, 6792
154, 7136
155, 7373
156, 7641
157, 8172
158, 7996
159, 7828
160, 7600
161, 7267
162, 6781
163, 6517
164, 5904
165, 5569
166, 5551
167, 5461
168, 4993
169, 4783
170, 4742
171, 4389
172, 4309
173, 4197
174, 4065
175, 3925
176, 3903
177, 3815
178, 3989
179, 3975
180, 4003
181, 4083
182, 4230
183, 4141
184, 4150
185, 4240
186, 4356
187, 4365
188, 4343
189, 4213
190, 4407
191, 4303
192, 4481
193, 4571
194, 4504
195, 4514
196, 4497
197, 4525
198, 4399
199, 4277
200, 4292
201, 4148
202, 4275
203, 4133
204, 4176
205, 3962
206, 3889
207, 3700
208, 3540
209, 3306
210, 3135
211, 3261
212, 3141
213, 3112
214, 3051
215, 3077
216, 2999
217, 3016
218, 2985
219, 2826
220, 2645
221, 2578
222, 2436
223, 2527
224, 2317
225, 2268
226, 2182
227, 2321
228, 2556
229, 2287
230, 2084
231, 1794
232, 1633
233, 1332
234, 1182
235, 962
236, 729
237, 746
238, 574
239, 403
240, 267
241, 166
242, 107
243, 79
244, 47
245, 41
246, 30
247, 16
248, 6
249, 5
250, 1
251, 1
252, 0
253, 0
254, 0
255, 0
